buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,175.70000685718378,9.489370455949844,5000,5000.0,105.38107204437256
6000.0,6.0,1000.0,178.08881296716496,11.731554279119711,6000,6000.0,190.6212706565857
7000.0,7.0,1000.0,115.58687608119811,11.733656353836137,7000,7000.0,275.84619784355164
8000.0,8.0,1000.0,104.47847807651935,11.793520257615922,8000,8000.0,360.6385233402252
9000.0,9.0,1000.0,107.39579701965607,11.774261831783521,9000,9000.0,445.56953859329224
10000.0,10.0,1000.0,241.8350188358501,11.735035270975606,10000,10000.0,530.7844514846802
11000.0,11.0,1000.0,109.27653695691438,10.086001045963217,11000,11000.0,629.9317750930786
12000.0,12.0,1000.0,322.99005597340954,11.76275354998024,12000,12000.0,714.9458844661713
13000.0,13.0,1000.0,175.69540249046938,11.726038480508937,13000,13000.0,800.2261791229248
14000.0,14.0,1000.0,58.279159282276694,11.73568733524152,14000,14000.0,885.4363579750061
15000.0,15.0,1000.0,80.31465949996479,11.756748977976972,15000,15000.0,970.4938859939575
16000.0,16.0,1000.0,149.83330392030197,11.74992977446566,16000,16000.0,1055.600778579712
17000.0,17.0,1000.0,205.2562216570215,11.747261298912681,17000,17000.0,1140.7270035743713
18000.0,18.0,1000.0,215.23242750774315,11.7385907691228,18000,18000.0,1225.9161064624786
19000.0,19.0,1000.0,183.95833896495586,11.724271996723658,19000,19000.0,1311.2092497348785
20000.0,20.0,1000.0,165.00293602536138,11.765772411310017,20000,20000.0,1396.201545715332
21000.0,21.0,1000.0,169.16859577525017,10.074890597236534,21000,21000.0,1495.4582071304321
22000.0,22.0,1000.0,138.3137784495965,11.731856728004754,22000,22000.0,1580.6962072849274
23000.0,23.0,1000.0,272.7942054518385,11.687597881588331,23000,23000.0,1666.2569892406464
24000.0,24.0,1000.0,252.47732494559307,11.72492384865882,24000,24000.0,1751.545390844345
25000.0,25.0,1000.0,334.2588486620128,11.691932297880836,25000,25000.0,1837.0744664669037
26000.0,26.0,1000.0,369.4926556175138,11.6807382114797,26000,26000.0,1922.685495376587
27000.0,27.0,1000.0,127.67391651926363,11.737079703294475,27000,27000.0,2007.8855650424957
28000.0,28.0,1000.0,124.60888541627094,11.778539219843022,28000,28000.0,2092.7857377529144
29000.0,29.0,1000.0,165.2458885762674,11.78027236627698,29000,29000.0,2177.6734189987183
30000.0,30.0,1000.0,184.81005487131083,11.768875114098817,30000,30000.0,2262.6433074474335
31000.0,31.0,1000.0,178.19372337510322,10.145291867526991,31000,31000.0,2361.211196899414
32000.0,32.0,1000.0,151.28653471059758,11.792070705236876,32000,32000.0,2446.013945579529
33000.0,33.0,1000.0,152.30701337283958,11.787218369974068,33000,33000.0,2530.8516042232513
34000.0,34.0,1000.0,108.64085133796127,11.781913089340145,34000,34000.0,2615.7274644374847
35000.0,35.0,1000.0,141.43083027178494,11.787120021114559,35000,35000.0,2700.565831184387
36000.0,36.0,1000.0,216.37212745390633,11.75075142205725,36000,36000.0,2785.666772842407
37000.0,37.0,1000.0,188.95480483127352,11.73016722392762,37000,37000.0,2870.9170501232147
38000.0,38.0,1000.0,162.87326010413173,11.726323335001087,38000,38000.0,2956.195272922516
39000.0,39.0,1000.0,164.468719856756,11.70504288978918,39000,39000.0,3041.6285362243652
40000.0,40.0,1000.0,150.7743995180834,11.71170320403893,40000,40000.0,3127.0132145881653
41000.0,41.0,1000.0,104.99227111658483,10.03878241008823,41000,41000.0,3226.626889228821
42000.0,42.0,1000.0,108.36819996271542,11.760687798395484,42000,42000.0,3311.655930995941
43000.0,43.0,1000.0,247.30974176443624,11.744803689572391,43000,43000.0,3396.7999687194824
44000.0,44.0,1000.0,189.0314512826949,11.75261444635045,44000,44000.0,3481.887419939041
45000.0,45.0,1000.0,155.08935997035897,11.757751308308938,45000,45000.0,3566.937697649002
46000.0,46.0,1000.0,153.41866620532824,11.735656107791817,46000,46000.0,3652.1481034755707
47000.0,47.0,1000.0,138.09295462574926,11.746267499847391,47000,47000.0,3737.281530857086
48000.0,48.0,1000.0,330.59547075465025,11.711833688244493,48000,48000.0,3822.66525888443
49000.0,49.0,1000.0,197.84196316251246,11.749741825561163,49000,49000.0,3907.7735130786896
50000.0,50.0,1000.0,103.2211189396184,11.749364267221383,50000,50000.0,3992.884501218796
51000.0,51.0,1000.0,205.495452863354,10.090720089415104,51000,51000.0,4091.985457420349
52000.0,52.0,1000.0,270.4650619674393,11.735076049546242,52000,52000.0,4177.200075387955
53000.0,53.0,1000.0,139.91706289569416,11.748712031550037,53000,53000.0,4262.315788984299
54000.0,54.0,1000.0,154.01773590745168,11.760576239702853,54000,54000.0,4347.345636844635
55000.0,55.0,1000.0,130.52035796076,11.765931729059062,55000,55000.0,4432.336781740189
56000.0,56.0,1000.0,195.40601700132547,11.754241511468187,56000,56000.0,4517.41245508194
57000.0,57.0,1000.0,202.48845872676958,11.736244630326233,57000,57000.0,4602.618588447571
58000.0,58.0,1000.0,242.9826249442315,11.749681426445543,58000,58000.0,4687.727279663086
59000.0,59.0,1000.0,224.7350463741646,11.76578043155348,59000,59000.0,4772.719517469406
60000.0,60.0,1000.0,92.17672278670261,11.744849206128281,60000,60000.0,4857.86322593689
61000.0,61.0,1000.0,115.72813980800412,10.12019575875337,61000,61000.0,4956.675544500351
62000.0,62.0,1000.0,122.38937983960038,11.78435579443229,62000,62000.0,5041.533811569214
63000.0,63.0,1000.0,151.3481931811354,11.787382045459816,63000,63000.0,5126.370292186737
